stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,intro.started,text.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,polygon.started,polygon.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,0.0016548000276088715,0.0041380999609827995,0.0041380999609827995,1.8420552001334727,space,1.8241695000324398,None,,,,,,,,,,,,,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
0,2,10.0,1.855487999971956,,,,,,,,,1.8422111000400037,1.855487999971956,2.355829000007361,2.355829000007361,2.355829000007361,2.65565920015797,2.7563822001684457,left,-10.0,1,1,0.3887084999587387,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
1,2,8.0,2.7720101000741124,,,,,,,,,2.7566621000878513,2.7720101000741124,3.2721755001693964,3.255458700004965,3.255458700004965,3.5553556999657303,3.689757199957967,left,-8.0,1,1,0.42284710006788373,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
2,2,6.0,3.705648500006646,,,,,,,,,3.6899654001463205,3.705648500006646,4.205832300009206,4.189456100109965,4.189456100109965,4.489048500079662,4.63947489997372,right,6.0,1,1,0.43562400015071034,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
3,2,4.0,4.6557237999513745,,,,,,,,,4.639601900009438,4.6557237999513745,5.15591420000419,5.139397900085896,5.139397900085896,5.4389190000947565,5.6228510001674294,left,-4.0,1,1,0.4694805000908673,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
4,2,2.0,5.638849799986929,,,,,,,,,5.622979399980977,5.638849799986929,6.13883229997009,6.122577199945226,6.122577199945226,6.422374499961734,6.557628400158137,left,-2.0,1,1,0.4216818001586944,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
5,2,1.0,6.575088200159371,,,,,,,,,6.557793000014499,6.575088200159371,7.089344999985769,7.0722489999607205,7.0722489999607205,7.372122700093314,7.706750200130045,right,1.0,1,1,0.6269149999134243,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
6,2,1.0,7.722257300047204,,,,,,,,,7.706873000133783,7.722257300047204,8.22215100005269,8.22215100005269,8.22215100005269,8.522434600163251,8.67331220000051,left,-1.0,1,1,0.4446671998593956,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
7,2,1.0,8.68901430000551,,,,,,,,,8.673506200080737,8.68901430000551,9.189167200122029,9.189167200122029,9.189167200122029,9.48902970016934,9.806540900142863,right,1.0,1,1,0.6131444000639021,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
8,2,1.0,9.822014200035483,,,,,,,,,9.806729699950665,9.822014200035483,10.32229209993966,10.305949100060388,10.305949100060388,10.605795900104567,10.806560799945146,left,-1.0,1,1,0.4904625001363456,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
9,2,1.0,10.822346600005403,,,,,,,,,10.806749700102955,10.822346600005403,11.32224480016157,11.306087400065735,11.306087400065735,11.60553040006198,11.839627800043672,left,-1.0,1,1,0.5184480000752956,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
10,1,1.0,11.855597000103444,,,,,,,,,11.839756600093096,11.855597000103444,12.355920600006357,12.33912290004082,12.33912290004082,12.63894350011833,12.90657540014945,right,1.0,0,0,0.5621158999856561,,,,,01_ss,001,2025-09-04_22h51.27.171,adaptive_staircase,2024.2.4,59.9523618953013,2025-09-04 22h51.36.601911 +0530,
