thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,intro.started,text.started,key_resp_2.started,intro.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,fixation.stopped,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.corr,trials.key_resp.rt,trials.key_resp.duration,trials.tilt,thank.started,text_2.started,text_2.stopped,thank.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,0.01916490006260574,0.0331382000586018,0.0331382000586018,11.500505600008182,space,11.404207299929112,None,,,,,,,,,,,,,,,signal_detection_001,001,2025-09-18_23h17.36.743,Signal_Detection,2024.2.4,60.22021325609298,2025-09-18 23h18.32.937732 +0530,
0,0,0,down,1,0.7509523999178782,None,-4,0,0,0,0,11.509367599966936,,,,,,,,,11.501940499991179,11.509367599966936,12.52639240003191,12.52639240003191,13.285158300073817,down,1,0.7509523999178782,None,-4,,,,,signal_detection_001,001,2025-09-18_23h17.36.743,Signal_Detection,2024.2.4,60.22021325609298,2025-09-18 23h18.32.937732 +0530,
1,0,1,up,1,0.6044607000658289,None,0,1,0,1,0,13.299478100030683,,,,,,,,,13.28547260002233,13.299478100030683,14.297908700071275,14.297908700071275,14.91998650005553,up,1,0.6044607000658289,None,0,,,,,signal_detection_001,001,2025-09-18_23h17.36.743,Signal_Detection,2024.2.4,60.22021325609298,2025-09-18 23h18.32.937732 +0530,
2,0,2,down,1,0.6054589999839664,None,-5,2,0,2,0,14.931060599978082,,,,,,,,,14.920676600071602,14.931060599978082,15.933133800048381,15.933133800048381,16.55089760001283,down,1,0.6054589999839664,None,-5,,,,,signal_detection_001,001,2025-09-18_23h17.36.743,Signal_Detection,2024.2.4,60.22021325609298,2025-09-18 23h18.32.937732 +0530,
3,0,3,down,1,0.4616510000778362,None,-3,3,0,3,0,16.566060099983588,,,,,,,,,16.55122270004358,16.566060099983588,17.567229200038128,17.549080100026913,18.01610770006664,down,1,0.4616510000778362,None,-3,,,,,signal_detection_001,001,2025-09-18_23h17.36.743,Signal_Detection,2024.2.4,60.22021325609298,2025-09-18 23h18.32.937732 +0530,
4,0,4,up,1,0.686161799938418,None,0,4,0,4,0,18.03338709997479,,,,,,,,,18.016344400006346,18.03338709997479,19.033667400013655,19.01634189998731,19.718012999976054,up,1,0.686161799938418,None,0,,,,,signal_detection_001,001,2025-09-18_23h17.36.743,Signal_Detection,2024.2.4,60.22021325609298,2025-09-18 23h18.32.937732 +0530,
5,0,5,up,1,0.8063593999249861,None,0,5,0,5,0,19.732399399974383,,,,,,,,,19.71839060005732,19.732399399974383,20.733674700022675,20.71516010002233,21.536448400001973,up,1,0.8063593999249861,None,0,,,,,signal_detection_001,001,2025-09-18_23h17.36.743,Signal_Detection,2024.2.4,60.22021325609298,2025-09-18 23h18.32.937732 +0530,
6,0,6,up,0,0.40596690005622804,None,3,6,0,6,0,21.549264600034803,,,,,,,,,21.53699970000889,21.549264600034803,22.548099900013767,22.548099900013767,22.967897500027902,up,0,0.40596690005622804,None,3,,,,,signal_detection_001,001,2025-09-18_23h17.36.743,Signal_Detection,2024.2.4,60.22021325609298,2025-09-18 23h18.32.937732 +0530,
7,0,7,down,0,0.6286673001013696,None,0,7,0,7,0,22.981359799974598,,,,,,,,,22.968232200015336,22.981359799974598,23.9807399000274,23.9807399000274,24.61780670005828,down,0,0.6286673001013696,None,0,,,,,signal_detection_001,001,2025-09-18_23h17.36.743,Signal_Detection,2024.2.4,60.22021325609298,2025-09-18 23h18.32.937732 +0530,
8,0,8,up,1,0.6691438000416383,None,0,8,0,8,0,24.632411599974148,,,,,,,,,24.618110900046304,24.632411599974148,25.6333504000213,25.6333504000213,26.3165734000504,up,1,0.6691438000416383,None,0,,,,,signal_detection_001,001,2025-09-18_23h17.36.743,Signal_Detection,2024.2.4,60.22021325609298,2025-09-18 23h18.32.937732 +0530,
